"* Required Fields","* Required Fields"
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Add Your Review","Add Your Review"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Add to cart","Add to cart"
"Allow","Allow"
"Availability:","Availability:"
"In stock","In stock"
"Availability:","Availability:"
"Out of stock","Out of stock"
"Be the first to review this product","Be the first to review this product"
"Boxed","Boxed"
"Check items to add to the cart or","Check items to add to the cart or"
"Checkout","Checkout"
"Checkout","Checkout"
"Clear All","Clear All"
"Clear Shopping Cart","Clear Shopping Cart"
"Collapsed","Collapsed"
"Continue Shopping","Continue Shopping"
"Continue shopping","Continue shopping"
"Create an Account","Create an Account"
"Currently Shopping by:","Currently Shopping by:"
"Default Menu","Default Menu"
"Default","Default"
"Details","Details"
"Edit item parameters","Edit item parameters"
"Edit item","Edit item"
"Edit","Edit"
"Email Address","Email Address"
"Email to a Friend","Email to a Friend"
"Enlarge","Enlarge"
"Excl. Tax","Excl. Tax"
"Forgot Your Password?","Forgot Your Password?"
"Home","Home"
"Horizontal","Horizontal"
"Hover","Hover"
"How do you rate this product?","How do you rate this product?"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Incl. Tax","Incl. Tax"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"Learn More","Learn More"
"Left","Left"
"Lightbox","Lightbox"
"Login or Create an Account","Login or Create an Account"
"Login","Login"
"Move to Wishlist","Move to Wishlist"
"Move","Move"
"New Customers","New Customers"
"Next","Next"
"Nickname","Nickname"
"No options of this product are available.","No options of this product are available."
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER"
"One column","One column"
"Only registered users can write reviews. Please, <a href="%s">log in</a> or <a href="%s">register</a>","Only registered users can write reviews. Please, <a href="%s">log in</a> or <a href="%s">register</a>"
"Opened","Opened"
"Out of stock","Out of stock"
"Page:","Page:"
"Password","Password"
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Previous","Previous"
"Price","Price"
"Product Name","Product Name"
"Qty","Qty"
"Qty:","Qty:"
"Recently added item(s)","Recently added item(s)"
"Registered Customers","Registered Customers"
"Related Products","Related Products"
"Remove This Item","Remove This Item"
"Remove item","Remove item"
"Return to Previous Page","Return to Previous Page"
"Review","Review"
"Right","Right"
"Search entire store here...","Search entire store here..."
"See price before order confirmation.","See price before order confirmation."
"Select","Select"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Shopping Cart","Shopping Cart"
"Shopping Options","Shopping Options"
"Show","Show"
"Side Menu","Side Menu"
"Sort By","Sort By"
"Submit Review","Submit Review"
"Subscribe to RSS Feed","Subscribe to RSS Feed"
"Subtotal","Subtotal"
"Summary of Your Review","Summary of Your Review"
"Superfish Menu","Superfish Menu"
"Total incl. tax","Total incl. tax"
"Total","Total"
"Total:","Total:"
"Unit Price","Unit Price"
"Universal","Universal"
"Update Shopping Cart","Update Shopping Cart"
"View as","View as"
"Wide Menu","Wide Menu"
"Wide","Wide"
"With left sidebar","With left sidebar"
"Write Your Own Review","Write Your Own Review"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Your rate","Your rate"
"bottom","bottom"
"center","center"
"fixed","fixed"
"left","left"
"no-repeat","no-repeat"
"per page","per page"
"repeat-x","repeat-x"
"repeat-y","repeat-y"
"right","right"
"scroll","scroll"
"select all","select all"
"top","top"
"unselect all","unselect all"
"was successfully added to your shopping cart.","was successfully added to your shopping cart."
"Sizing guide","Sizing guide"